"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";623;591;7;1221
"'10-19";1272;1467;9;2748
"20-29";3479;3514;34;7027
"30-39";3059;3116;19;6194
"40-49";3099;3790;12;6901
"50-59";4204;4753;3;8960
"60-69";2499;2132;5;4636
"70-79";2041;1949;2;3992
"80-89";1504;2386;3;3893
"90-99";244;792;2;1038
"100+";2;16;0;18
"Unbekannt";6;8;0;14
"Gesamt";22032;24514;96;46642
