"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";648;607;3;1258
"'10-19";1306;1499;3;2808
"20-29";3599;3583;13;7195
"30-39";3146;3150;10;6306
"40-49";3132;3833;7;6972
"50-59";4267;4818;1;9086
"60-69";2522;2179;0;4701
"70-79";2061;1970;1;4032
"80-89";1516;2443;1;3960
"90-99";246;806;1;1053
"100+";2;15;1;18
"Unbekannt";8;5;0;13
"Gesamt";22453;24908;41;47402
