"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";657;614;2;1273
"'10-19";1316;1502;2;2820
"20-29";3634;3610;12;7256
"30-39";3190;3173;8;6371
"40-49";3148;3842;4;6994
"50-59";4284;4835;1;9120
"60-69";2531;2185;0;4716
"70-79";2062;1974;1;4037
"80-89";1519;2450;1;3970
"90-99";247;811;1;1059
"100+";3;14;1;18
"Unbekannt";6;3;0;9
"Gesamt";22597;25013;33;47643
