"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";668;625;1;1294
"'10-19";1338;1514;2;2854
"20-29";3666;3632;14;7312
"30-39";3216;3193;9;6418
"40-49";3163;3855;5;7023
"50-59";4294;4841;2;9137
"60-69";2535;2192;0;4727
"70-79";2061;1980;1;4042
"80-89";1520;2449;0;3969
"90-99";248;811;1;1060
"100+";1;14;0;15
"Unbekannt";6;2;0;8
"Gesamt";22716;25108;35;47859
