"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";682;641;1;1324
"'10-19";1358;1531;1;2890
"20-29";3727;3677;4;7408
"30-39";3275;3227;5;6507
"40-49";3197;3894;1;7092
"50-59";4323;4883;1;9207
"60-69";2557;2208;0;4765
"70-79";2077;1991;1;4069
"80-89";1529;2467;0;3996
"90-99";249;811;1;1061
"100+";0;14;0;14
"Unbekannt";5;3;0;8
"Gesamt";22979;25347;15;48341
