"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";752;703;4;1459
"'10-19";1408;1567;3;2978
"20-29";3876;3750;4;7630
"30-39";3379;3285;8;6672
"40-49";3276;3948;3;7227
"50-59";4380;4929;2;9311
"60-69";2576;2225;2;4803
"70-79";2093;2006;1;4100
"80-89";1529;2474;0;4003
"90-99";248;815;1;1064
"100+";0;12;0;12
"Unbekannt";3;3;0;6
"Gesamt";23520;25717;28;49265
