"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";782;722;5;1509
"'10-19";1441;1599;2;3042
"20-29";3940;3799;7;7746
"30-39";3427;3327;9;6763
"40-49";3315;3977;4;7296
"50-59";4411;4954;4;9369
"60-69";2594;2241;2;4837
"70-79";2101;2017;1;4119
"80-89";1538;2480;1;4019
"90-99";249;817;0;1066
"100+";0;12;0;12
"Unbekannt";4;3;0;7
"Gesamt";23802;25948;35;49785
