"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";847;791;9;1647
"'10-19";1578;1686;3;3267
"20-29";4199;4052;15;8266
"30-39";3606;3507;15;7128
"40-49";3482;4202;8;7692
"50-59";4554;5076;11;9641
"60-69";2643;2281;2;4926
"70-79";2123;2031;1;4155
"80-89";1551;2499;1;4051
"90-99";251;822;0;1073
"100+";0;13;0;13
"Unbekannt";4;6;13;23
"Gesamt";24838;26966;78;51882
