"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";885;817;13;1715
"'10-19";1704;1765;5;3474
"20-29";4415;4214;23;8652
"30-39";3692;3595;17;7304
"40-49";3568;4298;17;7883
"50-59";4606;5122;14;9742
"60-69";2663;2298;2;4963
"70-79";2136;2037;1;4174
"80-89";1557;2505;1;4063
"90-99";252;822;0;1074
"100+";0;17;0;17
"Unbekannt";5;5;17;27
"Gesamt";25483;27495;110;53088
