"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";1047;977;29;2053
"'10-19";2193;2165;19;4377
"20-29";5063;4713;44;9820
"30-39";4017;3901;48;7966
"40-49";3874;4581;32;8487
"50-59";4796;5281;20;10097
"60-69";2716;2346;5;5067
"70-79";2161;2053;3;4217
"80-89";1568;2526;1;4095
"90-99";254;830;0;1084
"100+";2;14;0;16
"Unbekannt";5;7;18;30
"Gesamt";27696;29394;219;57309
