"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";1144;1065;34;2243
"'10-19";2401;2352;27;4780
"20-29";5374;4974;52;10400
"30-39";4217;4090;59;8366
"40-49";4052;4741;36;8829
"50-59";4906;5361;23;10290
"60-69";2755;2371;7;5133
"70-79";2176;2061;4;4241
"80-89";1570;2536;1;4107
"90-99";255;833;0;1088
"100+";2;15;0;17
"Unbekannt";6;9;15;30
"Gesamt";28858;30408;258;59524
