"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";1241;1147;39;2427
"'10-19";2644;2562;34;5240
"20-29";5740;5285;77;11102
"30-39";4418;4290;63;8771
"40-49";4220;4943;41;9204
"50-59";5064;5487;22;10573
"60-69";2806;2434;8;5248
"70-79";2202;2097;4;4303
"80-89";1587;2555;1;4143
"90-99";256;839;0;1095
"100+";2;15;0;17
"Unbekannt";6;12;4;22
"Gesamt";30186;31666;293;62145
