"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";1351;1258;37;2646
"'10-19";2835;2760;39;5634
"20-29";6154;5681;71;11906
"30-39";4676;4508;55;9239
"40-49";4400;5152;39;9591
"50-59";5266;5653;17;10936
"60-69";2885;2503;8;5396
"70-79";2251;2147;3;4401
"80-89";1602;2575;1;4178
"90-99";261;848;0;1109
"100+";2;14;0;16
"Unbekannt";5;9;2;16
"Gesamt";31688;33108;272;65068
