"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";1597;1474;41;3112
"'10-19";3384;3236;54;6674
"20-29";7132;6531;95;13758
"30-39";5409;5131;64;10604
"40-49";4987;5718;51;10756
"50-59";5911;6192;30;12133
"60-69";3166;2777;12;5955
"70-79";2406;2309;5;4720
"80-89";1672;2687;4;4363
"90-99";269;879;0;1148
"100+";2;17;0;19
"Unbekannt";16;17;6;39
"Gesamt";35951;36968;362;73281
