"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";1748;1613;45;3406
"'10-19";3877;3638;62;7577
"20-29";7845;7194;118;15157
"30-39";5975;5538;69;11582
"40-49";5459;6169;65;11693
"50-59";6485;6638;42;13165
"60-69";3415;2993;17;6425
"70-79";2543;2437;12;4992
"80-89";1741;2793;6;4540
"90-99";278;908;0;1186
"100+";2;18;0;20
"Unbekannt";19;28;10;57
"Gesamt";39387;39967;446;79800
